,source,band,zbound,zvalue
94,../1024/data/frame_00816,B8,zmin,-0.0040758561674318905
95,../1024/data/frame_00816,B8,zmax,0.02966323139058226
96,../1024/data/frame_00818,B3,zmin,15.559338569641113
97,../1024/data/frame_00818,B3,zmax,136.1456565817079
98,../1024/data/frame_00818,B4,zmin,54.09373092651367
99,../1024/data/frame_00818,B4,zmax,349.9520706388391
100,../1024/data/frame_00818,B5,zmin,1178.2657378985598
101,../1024/data/frame_00818,B5,zmax,4488.811726738066
102,../1024/data/frame_00818,B6,zmin,30.723706575471148
103,../1024/data/frame_00818,B6,zmax,208.62024403060587
104,../1024/data/frame_00818,B7,zmin,0.004778227917839408
105,../1024/data/frame_00818,B7,zmax,0.03918517160398927
106,../1024/data/frame_00818,B8,zmin,-0.010413221516387882
107,../1024/data/frame_00818,B8,zmax,0.07702776613890686
108,../1024/data/frame_00819,B3,zmin,14.659747123718262
109,../1024/data/frame_00819,B3,zmax,200.94897999319969
110,../1024/data/frame_00819,B4,zmin,50.880409240722656
111,../1024/data/frame_00819,B4,zmax,328.1687927246094
112,../1024/data/frame_00819,B5,zmin,1115.3333930104134
113,../1024/data/frame_00819,B5,zmax,3958.1067600420374
114,../1024/data/frame_00819,B6,zmin,33.058007462142605
115,../1024/data/frame_00819,B6,zmax,451.3339889668061
116,../1024/data/frame_00819,B7,zmin,0.009900074254596946
117,../1024/data/frame_00819,B7,zmax,0.22775138225151836
118,../1024/data/frame_00819,B8,zmin,-0.006573063059855602
119,../1024/data/frame_00819,B8,zmax,0.0485886403664302
120,../1024/data/frame_00820,B3,zmin,8.735867500305176
121,../1024/data/frame_00820,B3,zmax,167.1296293333412
122,../1024/data/frame_00820,B4,zmin,37.71295928955078
123,../1024/data/frame_00820,B4,zmax,450.29482466053645
124,../1024/data/frame_00820,B5,zmin,923.4058773361993
125,../1024/data/frame_00820,B5,zmax,3702.937242665124
126,../1024/data/frame_00820,B6,zmin,26.395922581119528
127,../1024/data/frame_00820,B6,zmax,306.924647180338
128,../1024/data/frame_00820,B7,zmin,0.006172211636479162
129,../1024/data/frame_00820,B7,zmax,0.1619960401560338
130,../1024/data/frame_00820,B8,zmin,-0.007272952981979067
131,../1024/data/frame_00820,B8,zmax,0.04588473367663816
132,../1024/data/frame_00821,B3,zmin,13.559174537658691
133,../1024/data/frame_00821,B3,zmax,117.82116906705592
134,../1024/data/frame_00821,B4,zmin,45.73271942138672
135,../1024/data/frame_00821,B4,zmax,296.78786642747406
136,../1024/data/frame_00821,B5,zmin,1145.3006069648923
137,../1024/data/frame_00821,B5,zmax,3025.41491241319
138,../1024/data/frame_00821,B6,zmin,28.578400068051856
139,../1024/data/frame_00821,B6,zmax,148.49107494571692
140,../1024/data/frame_00821,B7,zmin,0.005463031434451061
141,../1024/data/frame_00821,B7,zmax,0.07660734565807506
142,../1024/data/frame_00821,B8,zmin,-0.006268841540023808
143,../1024/data/frame_00821,B8,zmax,0.03191425642422103
144,../1024/data/frame_00822,B3,zmin,14.36980152130127
145,../1024/data/frame_00822,B3,zmax,92.24464313615985
146,../1024/data/frame_00822,B4,zmin,51.177223205566406
147,../1024/data/frame_00822,B4,zmax,208.3561792169945
148,../1024/data/frame_00822,B5,zmin,1124.390331512768
149,../1024/data/frame_00822,B5,zmax,3032.5388459385804
150,../1024/data/frame_00822,B6,zmin,27.80451165876339
151,../1024/data/frame_00822,B6,zmax,109.53845484543727
152,../1024/data/frame_00822,B7,zmin,0.003846204664257893
153,../1024/data/frame_00822,B7,zmax,0.05971495601993964
154,../1024/data/frame_00822,B8,zmin,-0.0036969814340672043
155,../1024/data/frame_00822,B8,zmax,0.006975305796972759
156,../1024/data/frame_00823,B3,zmin,9.725625038146973
157,../1024/data/frame_00823,B3,zmax,158.3471610316201
158,../1024/data/frame_00823,B4,zmin,38.22686767578125
159,../1024/data/frame_00823,B4,zmax,428.17727633315155
160,../1024/data/frame_00823,B5,zmin,955.7781747348891
161,../1024/data/frame_00823,B5,zmax,4215.306297273046
162,../1024/data/frame_00823,B6,zmin,28.33121543138596
163,../1024/data/frame_00823,B6,zmax,208.62130866054508
164,../1024/data/frame_00823,B7,zmin,0.006704517723024547
165,../1024/data/frame_00823,B7,zmax,0.10814915801686699
166,../1024/data/frame_00823,B8,zmin,-0.005467685882149128
167,../1024/data/frame_00823,B8,zmax,0.04639038522615506
168,../1024/data/frame_00824,B3,zmin,7.69476318359375
169,../1024/data/frame_00824,B3,zmax,140.30850702001334
170,../1024/data/frame_00824,B4,zmin,34.43037033081055
171,../1024/data/frame_00824,B4,zmax,392.3412351098259
172,../1024/data/frame_00824,B5,zmin,992.1938054775145
173,../1024/data/frame_00824,B5,zmax,3461.55415448406
174,../1024/data/frame_00824,B6,zmin,22.41523791049007
175,../1024/data/frame_00824,B6,zmax,182.07220548398078
176,../1024/data/frame_00824,B7,zmin,0.004092268501847348
177,../1024/data/frame_00824,B7,zmax,0.1147151305611135
178,../1024/data/frame_00824,B8,zmin,-0.007856109510583926
179,../1024/data/frame_00824,B8,zmax,0.008691931748470681
180,../1024/data/frame_00826,B3,zmin,10.496760368347168
181,../1024/data/frame_00826,B3,zmax,116.00480351016179
182,../1024/data/frame_00826,B4,zmin,38.3327522277832
183,../1024/data/frame_00826,B4,zmax,298.7717922807358
184,../1024/data/frame_00826,B5,zmin,986.5308149998826
185,../1024/data/frame_00826,B5,zmax,3728.0654980307054
186,../1024/data/frame_00826,B6,zmin,27.77311588072778
187,../1024/data/frame_00826,B6,zmax,142.52954654428618
188,../1024/data/frame_00826,B7,zmin,0.005904680187101666
189,../1024/data/frame_00826,B7,zmax,0.0814802941232168
190,../1024/data/frame_00826,B8,zmin,-0.004467555644604483
191,../1024/data/frame_00826,B8,zmax,0.034043922727119875
192,../1024/data/frame_00827,B3,zmin,8.938079833984375
193,../1024/data/frame_00827,B3,zmax,141.4167892500926
194,../1024/data/frame_00827,B4,zmin,42.875457763671875
195,../1024/data/frame_00827,B4,zmax,343.6081043916086
196,../1024/data/frame_00827,B5,zmin,1026.3204221822007
197,../1024/data/frame_00827,B5,zmax,4493.981857889331
198,../1024/data/frame_00827,B6,zmin,25.760029435429875
199,../1024/data/frame_00827,B6,zmax,203.59840620988987
200,../1024/data/frame_00827,B7,zmin,0.003775031621729525
201,../1024/data/frame_00827,B7,zmax,0.1220522302056294
202,../1024/data/frame_00827,B8,zmin,-0.005082924628823759
203,../1024/data/frame_00827,B8,zmax,0.03555055427330346
204,../1024/data/frame_00828,B3,zmin,10.245685577392578
205,../1024/data/frame_00828,B3,zmax,156.41545172418208
206,../1024/data/frame_00828,B4,zmin,46.62968444824219
207,../1024/data/frame_00828,B4,zmax,346.7699785769707
208,../1024/data/frame_00828,B5,zmin,1007.2619541813822
209,../1024/data/frame_00828,B5,zmax,4600.715100678022
210,../1024/data/frame_00828,B6,zmin,25.782885922375847
211,../1024/data/frame_00828,B6,zmax,209.70081110668394
212,../1024/data/frame_00828,B7,zmin,0.004505879013188714
213,../1024/data/frame_00828,B7,zmax,0.12277202688660398
214,../1024/data/frame_00828,B8,zmin,-0.004556330054744686
215,../1024/data/frame_00828,B8,zmax,0.03599093497926946
216,../1024/data/frame_00833,B3,zmin,14.759392738342285
217,../1024/data/frame_00833,B3,zmax,118.60169834743263
218,../1024/data/frame_00833,B4,zmin,51.19046401977539
219,../1024/data/frame_00833,B4,zmax,252.66496688918633
220,../1024/data/frame_00833,B5,zmin,1234.7236038186065
221,../1024/data/frame_00833,B5,zmax,3311.8869562333684
222,../1024/data/frame_00833,B6,zmin,29.53945512919902
223,../1024/data/frame_00833,B6,zmax,159.74125859270137
224,../1024/data/frame_00833,B7,zmin,0.009986104788862617
225,../1024/data/frame_00833,B7,zmax,0.12459877617420653
226,../1024/data/frame_00833,B8,zmin,-0.0044367261577373555
227,../1024/data/frame_00833,B8,zmax,0.029157156892526046
228,../1024/data/frame_00834,B3,zmin,11.696744918823242
229,../1024/data/frame_00834,B3,zmax,128.03683376379468
230,../1024/data/frame_00834,B4,zmin,41.559627532958984
231,../1024/data/frame_00834,B4,zmax,346.85155464500076
232,../1024/data/frame_00834,B5,zmin,1067.1051317988163
233,../1024/data/frame_00834,B5,zmax,4183.291312759751
234,../1024/data/frame_00834,B6,zmin,26.809687561854872
235,../1024/data/frame_00834,B6,zmax,166.966094014666
